project_name,implementing_agency,brief_description,expected_output,location,contractor,procurement_mode,funding_source,approved_budget,start_date,end_date,physical_accomplishment,financial_accomplishment,remarks,status,project_type
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Land Improvement of Parking Area,Installed,DVPSMDH,,Bidding,2024 SB #1,2000000.0,,,0,0,to be implemented,to_be_implemented,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Improvement of Dietary Complex,constructed,JMCDH,Binjo Construcion Services,Bidding,2018 SB #2,5013370.75,"November 12, 2024","May 21, 2025",0.7024,0,ongoing,ongoing,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Rehabilitation of Wards,constructed,JMCDH,Iloilo Grand Emperor Builders Corporation,Bidding,2020 20% IRA SB #4,4602308.04,"February 8, 2023",,0,0,ongoing,ongoing,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,"Various Waste Holding Facility (sharps pit, pathological tank)",constructed,JMCDH,,Bidding,2020 SB #4,724000.0,,,0,0,to be implemented,to_be_implemented,Infrastructure
Installation of Water System,IPG/HMO,Water System,constructed,JMCDH,,Bidding,2020 SB #4,700000.0,,,0,0,to be implemented,to_be_implemented,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Renovation /Improvement of OR with CSR,constructed,JMCDH,Binjo Constuction Services,Bidding,HFEP 2022,5999574.5,"November 20, 2024","August 11, 2015",1,0,ongoing,ongoing,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Renovation/Expansion/Improvement of Pharmacy,constructed,JMCDH,,Bidding,,,,,,,,unknown,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Construction of Main Lobby,constructed,JMCDH,Binjo Constuction Services,Bidding,HFEP 2023,9412547.02,"October 6, 2025","July 24, 2026",0.0752,0,ongoing,ongoing,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Completion of STP,constructed,JMCDH,,Bidding,,,,,,,,unknown,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Completion of Triage Area/Waiting Area and Dental Clinic,constructed,JMCDH,,Bidding,2025 NTA SB #1,3000000.0,,,0,0,to be implemented,to_be_implemented,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Construction of Perimeter Fence,constructed,JMCDH,,Bidding,2025 SB #1,3000000.0,,,0,0,to be implemented,to_be_implemented,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Drainage canal (front of hosp),constructed,FRTSMDH,,Bidding,2017 SB#1,1545410.95,,,0,0,to be implemented,to_be_implemented,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Other Land Improvements,constructed,FRTSMDH,,Bidding,2017 SB#2,511814.44,,,0,0,to be implemented,to_be_implemented,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Construction of Parking Area,constructed,FRTSMDH,Red Hammer International Builders Corporation,Bidding,2018 SB #2,1793115.0,"December 11, 2024","April 29, 2025",0.9249,0,ongoing,ongoing,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Renovation/Expansion/Improvement of OR/DR,constructed,FRTSMDH,Red Hammer International Builders Corporation,Bidding,HFEP 2022,16648332.46,,,0,0,to be implemented,to_be_implemented,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Construction of PHU Complex,constructed,FRTSMDH,,,,,,,,,,unknown,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Renovation/Expansion/Improvement of X-ray Section,constructed,FRTSMDH,,,,,,,,,,unknown,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Renovation/Expansion/Improvement of OPD Complex/X-ray laboratory and ward complex,constructed,FRTSMDH,,,,,,,,,,unknown,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Repair/Improvement of ER and Admin Building (2 storey Building),constructed,FRTSMDH,,Bidding,HFEP 2023,30000000.0,,,0,0,to be implemented,to_be_implemented,Infrastructure
,IPG/HMO,Completion of Triage Facility,constructed,FRTSMDH,,,,,,,0,0,,unknown,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Rehab/Upgrading of OR and DR (Additional Works),constructed,GNDTSDH,Red Hammer Builders Corporation,Bidding,2017 20% IRA SB #1,399024.54,"February 2, 2023","April 17, 2023",1,0,completed,completed,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Supply & Installation of ATS,constructed,GNDTSDH,,Bidding,2023 SB #1,1060000.0,,,0,0,to be implemented,to_be_implemented,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Construction of PHU Complex,constructed,GNDTSDH,Red Hammer International Builders Corporation,Bidding,HFEP 2022,9400425.51,"July 23, 2024","May 9, 2025",0.8893,0.9526,ongoing construction,ongoing,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Completion of STP,constructed,GNDTSDH,Red Hammer International Builders Corporation,Bidding,HFEP 2023,15973180.92,,,0,0,ongoing construction,ongoing,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Construction of one storey wards building,constructed,GNDTSDH,,Bidding,,,,,,,,unknown,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Completion of Triage Facility,constructed,GNDTSDH,,Bidding,,,,,,,,unknown,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Renovation of Pharmacy and Laboratory,constructed,GNDTSDH,,Bidding,,,,,,,,unknown,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Improvement of Wards,constructed,GNDTSDH,,Bidding,20% IRA 2025 SB 1,11000000.0,,,0,0,to be implemented,to_be_implemented,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Rehabilitation/Improvement of OR/DR of San Joaquin Mother and Child Hospital,constructed,SJMCH,RESTIA Builders Corporation,Bidding,20% IRA 2020 SB #2,2194966.4,"March 1, 2025","May 9, 2025",0.5561,0,ongoing,ongoing,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,"Construction of Various Waste Holding Facilities  (Infectious Pit, Vault Pit for Sharps, Pharmaceutical  Pit, Placenta Pit, Anatomical Pit, Pathological Pit, Material Recovery Facility and Septic  Vault/ Pit  Radiological Waste",constructed,SJMCH,Red Hammer Internation Builders Corporation,Bidding,2020 SB #4,1998000.0,"July 4, 2023","November 15, 2023",1,1,completed,completed,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,"Completion of X-ray room, proposed nurse's stations, dietary improvement (installation of industrial kitchen rangehood)",constructed,SJMCH,RMKP Construction,Bidding,2022 SB #1,770866.83,"October 18, 2023","November 21, 2023",1,0,ongoing,ongoing,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,"Completion of X-ray room, proposed nurse's stations, dietary improvement (installation of industrial kitchen rangehood)",constructed,SJMCH,,Bidding,SB #1,1200000.0,,,0,0,to be implemented,to_be_implemented,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Completion of STP,constructed,SJMCH,A. Maquiling Construction and Supply (for post qua),Bidding,HFEP 2022,15998874.73,"October 08, 2024","May 25, 2025",1,0.4222,ongoing,ongoing,Infrastructure
Construction/Rehabilitation/ Improvement of Infrastructure/ Hospital Facilities,IPG/HMO,Completion of PHU Complex,constructed,SJMCH,,Bidding,,,,,,,,unknown,Infrastructure
